HUC8,2010_DO,2010_TCOLI_M,2010_TN,2010_TP,2010_TSS,2011_DO,2011_TCOLI_M,2011_TN,2011_TOC,2011_TP,2011_TSS,2012_DO,2012_TCOLI_M,2012_TN,2012_TOC,2012_TP,2012_TSS,2013_DO,2013_TN,2013_TOC,2013_TP,2013_TSS,2014_DO,2014_TN,2014_TOC,2014_TP,2014_TSS,2015_DO,2015_TN,2015_TOC,2015_TP,2015_TSS,2016_DO,2016_TN,2016_TP,2016_TSS
02040303,9.213333333,,,,38.76,7.468421053,,,,,42.0625,7.683333333,,,,,35.94117647,6.49375,,,,31.94705882,9.646666667,,,,21.90666667,7.85,,,,28.06875,7.9875,,,26.2125
02050101,,,,,,11.65857143,,0.506,2.825,0.0254875,15.7,10.7521875,,0.682333333,3.00625,0.039883871,21.16875,11.36842105,0.941441176,3.092105263,0.067915789,51.71842105,11.5047619,0.877826087,3.375,0.068848571,51.45277778,10.14684211,0.79665,2.607692308,0.034807692,19.71153846,,,,
02050102,,,,,,,,,,,,11.278,,1.049666667,3.0875,0.0314375,10.3125,12.213,1.151555556,3.066666667,0.046075,25.20833333,,,,,,,,,,,,,,
02050103,,,,,,11.9475,,0.694333333,2.8,0.0253,10.4,10.01823529,,0.826090909,3.255555556,0.067238889,17.77058824,11.17958333,0.93605,3.475,0.0754125,57.66956522,10.8526087,0.915571429,3.587096774,0.076487097,42.2,9.981111111,0.941076923,2.870588235,0.042022222,20.13888889,,,,
02050105,,,,,,12.41285714,,0.947166667,3.885714286,0.024285714,6.614285714,10.44264706,,1.421142857,3.882352941,0.0669375,16.94117647,11.46780488,1.216631579,3.838636364,0.073130233,40.25365854,11.21827586,1.2434,3.993181818,0.0912,45.17272727,9.4884,1.449,4.163636364,0.090279412,53.90294118,,,,
02050106,,,,,,9.54,,0.712857143,2.818571429,0.024142857,17,10.6037931,,0.832121212,3.215757576,0.056911765,20.91176471,11.481,0.901096774,3.176129032,0.067903226,43.61290323,11.16638889,0.966421053,3.966868421,0.082868421,41.05263158,10.07782609,0.991214286,3.061607143,0.050678571,36,,,,
02050107,,,,,,11.995,,0.722307692,2.606153846,0.030769231,13.15384615,10.45462963,,0.851724138,3.094,0.058133333,32.53333333,11.56423077,0.903759259,3.001444444,0.063555556,34.96296296,11.31053571,0.989516667,3.943633333,0.091883333,61.13333333,9.934,0.87415,2.86185,0.048975,26.825,,,,
02050201,,,,,,11.778,,0.53,1.546,0.0124,10.6,10.99588235,,0.6165,2.092,0.02065,15.9,11.701875,0.618555556,2.147444444,0.025169444,26.22222222,11.53789474,0.597789474,2.205315789,0.021736842,17.42105263,9.833846154,0.548857143,2.048142857,0.0185,23.71428571,,,,
02050204,9.315384615,,0.963571429,0.121428571,44.21428571,10.78230769,,1.472142857,1.65,0.26575,138.25,10.57710526,,1.21,1.909,0.083,32.60465116,10.79714286,1.348641026,2.334157895,0.160025641,76.79487179,11.04810811,1.250975,2.338190476,0.09875,49.8,10.19323529,1.167589744,2.199714286,0.107102564,50.35897436,9.878571429,1.08125,0.201875,104.375
02050205,,,,,,12.88333333,,0.286666667,1.296666667,0.010666667,5.333333333,11.03941176,,0.401111111,2.371111111,0.032944444,25,10.635,0.358176471,1.612764706,0.015235294,6.411764706,10.8725,0.422333333,2.387555556,0.028722222,32.88888889,11.16785714,0.4906,1.9744,0.031,24.2,,,,
